State,Year,Subject,Score
Utah,2018,Total,1230
Vermont,2018,Total,1120
Virginia,2018,Total,1117
Washington,2018,Total,1081
West Virginia,2018,Total,999
Wisconsin,2018,Total,1294
Wyoming,2018,Total,1257
Alabama,2018,ERW,595
Alaska,2018,ERW,562
Arizona,2018,ERW,577
Arkansas,2018,ERW,592
California,2018,ERW,540
Colorado,2018,ERW,519
Connecticut,2018,ERW,535
Delaware,2018,ERW,505
District of Columbia,2018,ERW,497
Florida,2018,ERW,522
Georgia,2018,ERW,542
Hawaii,2018,ERW,550
Idaho,2018,ERW,508
Illinois,2018,ERW,513
Indiana,2018,ERW,546
Iowa,2018,ERW,634
Kansas,2018,ERW,633
Kentucky,2018,ERW,630
Louisiana,2018,ERW,615
Maine,2018,ERW,512
Maryland,2018,ERW,545
Massachusetts,2018,ERW,562
Michigan,2018,ERW,511
Minnesota,2018,ERW,643
Mississippi,2018,ERW,630
Missouri,2018,ERW,633
Montana,2018,ERW,606
Nebraska,2018,ERW,629
Nevada,2018,ERW,574
New Hampshire,2018,ERW,535
New Jersey,2018,ERW,547
New Mexico,2018,ERW,552
New York,2018,ERW,534
North Carolina,2018,ERW,554
North Dakota,2018,ERW,640
Ohio,2018,ERW,552
Oklahoma,2018,ERW,541
Oregon,2018,ERW,564
Pennsylvania,2018,ERW,547
Rhode Island,2018,ERW,513
South Carolina,2018,ERW,547
South Dakota,2018,ERW,622
Tennessee,2018,ERW,624
Texas,2018,ERW,520
Utah,2018,ERW,618
Vermont,2018,ERW,565
Virginia,2018,ERW,567
Washington,2018,ERW,543
West Virginia,2018,ERW,513
Wisconsin,2018,ERW,641
Wyoming,2018,ERW,633
Alabama,2018,Math,571
Alaska,2018,Math,544
Arizona,2018,Math,572
Arkansas,2018,Math,576
California,2018,Math,536
Colorado,2018,Math,506
Connecticut,2018,Math,519
Delaware,2018,Math,492
District of Columbia,2018,Math,480
Florida,2018,Math,493
Georgia,2018,Math,522
Hawaii,2018,Math,549
Idaho,2018,Math,493
Illinois,2018,Math,506
Indiana,2018,Math,539
Iowa,2018,Math,631
Kansas,2018,Math,631
Kentucky,2018,Math,618
Louisiana,2018,Math,595
Maine,2018,Math,501
Maryland,2018,Math,535
Massachusetts,2018,Math,563
Michigan,2018,Math,499
Minnesota,2018,Math,655
Mississippi,2018,Math,606
Missouri,2018,Math,629
Montana,2018,Math,592
Nebraska,2018,Math,623
Nevada,2018,Math,566
New Hampshire,2018,Math,528
New Jersey,2018,Math,547
New Mexico,2018,Math,540
