State,Composite score,English score,Mathematics score,Reading score,Science score
United States,21.0,20.3,20.9,21.3,20.8
Alabama,20.6,20.7,19.5,21.3,20.4
Alaska,21.0,19.9,21.1,21.6,20.8
Arizona,19.7,18.8,20.2,20.0,19.5
Arkansas,20.4,20.1,19.9,20.8,20.3
California,22.3,21.8,22.8,22.3,21.7
Colorado,20.6,20.1,20.4,20.9,20.6
Connecticut,24.2,24.2,24.1,24.5,23.6
Delaware,23.2,22.7,23.2,23.7,22.9
District of Columbia,21.6,21.2,21.5,22.0,21.1
Florida,19.6,18.7,19.5,20.7,19.1
Georgia,20.8,20.3,20.5,21.4,20.7
Hawaii,18.2,16.9,19.0,18.3,18.1
Idaho,22.4,21.9,22.0,23.0,22.1
Illinois,20.7,20.3,20.7,20.8,20.5
Indiana,21.9,21.1,21.9,22.3,21.6
Iowa,22.0,21.5,21.4,22.5,22.2
Kansas,22.0,21.4,21.7,22.5,21.8
Kentucky,19.9,19.4,19.4,20.3,20.0
Louisiana,19.2,18.9,18.9,19.5,19.1
Maine,23.6,23.3,23.6,24.1,22.8
Maryland,22.6,22.1,22.5,23.0,22.2
Massachusetts,24.3,24.0,24.6,24.5,23.5
Michigan,20.1,19.3,19.9,20.2,20.4
Minnesota,22.9,22.1,23.0,23.1,22.9
Mississippi,19.0,18.8,18.3,19.4,18.9
Missouri,21.8,21.6,21.1,22.3,21.7
Montana,20.5,19.3,20.5,21.1,20.4
Nebraska,21.7,21.3,21.1,22.0,21.7
Nevada,21.2,20.2,21.2,21.7,21.1
New Hampshire,24.2,23.9,24.2,24.5,23.6
New Jersey,23.1,22.8,23.7,23.1,22.4
New Mexico,19.9,18.9,19.7,20.5,20.1
New York,23.4,22.7,23.8,23.6,23.2
North Carolina,18.9,17.5,19.6,19.0,18.9
North Dakota,20.6,19.6,20.7,20.8,20.6
Ohio,22.0,21.4,21.7,22.4,22.0
Oklahoma,20.7,20.3,19.9,21.5,20.8
Oregon,21.4,20.8,21.4,21.9,21.1
Pennsylvania,22.7,22.1,22.8,23.0,22.2
Rhode Island,22.9,22.7,22.8,23.6,22.0
South Carolina,20.4,19.7,20.3,20.9,20.4
South Dakota,21.9,21.0,21.8,22.3,22.1
Tennessee,19.8,19.6,19.2,20.1,19.6
Texas,20.9,19.8,21.4,21.1,21.0
Utah,20.8,20.0,20.3,21.3,20.9
Vermont,23.2,22.8,23.0,23.7,22.8
Virginia,22.8,22.4,22.7,23.4,22.4
Washington,23.0,22.3,23.3,23.4,22.7
West Virginia,20.6,20.4,19.5,21.4,20.6
Wisconsin,22.2,21.6,22.0,22.4,22.3
Wyoming,20.1,19.3,19.9,20.6,20.2
