State,Composite score,English score,Mathematics score,Reading score,Science score
United States,20.8,20.1,20.6,21.3,20.8
Alabama,19.1,18.7,18.3,19.7,19.1
Alaska,20.0,18.9,20.0,20.6,19.8
Arizona,20.1,19.1,20.2,20.5,20.0
Arkansas,20.2,19.8,19.6,20.7,20.2
California,22.6,22.1,22.7,22.9,22.1
Colorado,20.6,20.0,20.3,20.9,20.9
Connecticut,24.5,24.4,24.1,25.0,24.1
Delaware,23.6,23.3,23.2,24.3,23.2
District of Columbia,22.2,21.8,21.8,22.8,21.7
Florida,19.9,18.9,19.5,21.1,19.5
Georgia,21.1,20.7,20.6,21.8,21.0
Hawaii,18.7,17.6,19.1,19.0,18.6
Idaho,22.7,22.3,22.1,23.5,22.4
Illinois,20.8,20.5,20.6,21.0,20.6
Indiana,22.3,21.6,22.1,22.9,22.0
Iowa,22.1,21.4,21.4,22.7,22.3
Kansas,21.9,21.3,21.5,22.5,21.8
Kentucky,20.0,19.7,19.3,20.6,19.9
Louisiana,19.5,19.3,18.8,19.9,19.6
Maine,23.6,23.3,23.8,23.9,23.1
Maryland,23.0,22.6,22.7,23.6,22.8
Massachusetts,24.8,24.4,24.9,25.3,24.1
Michigan,20.3,19.9,19.9,20.7,20.5
Minnesota,21.1,20.0,21.2,21.3,21.3
Mississippi,18.4,17.9,18.0,18.7,18.5
Missouri,20.2,19.7,19.8,20.6,20.4
Montana,20.3,19.0,20.2,20.8,20.5
Nebraska,21.4,20.9,20.8,21.8,21.5
Nevada,17.7,16.2,18.0,18.1,18.1
New Hampshire,24.5,24.0,24.4,25.1,24.1
New Jersey,23.1,22.7,23.3,23.5,22.5
New Mexico,19.9,18.9,19.5,20.5,20.1
New York,23.9,23.2,23.9,24.4,23.7
North Carolina,19.1,17.8,19.4,19.5,19.2
North Dakota,20.3,19.1,20.3,20.7,20.7
Ohio,22.0,21.2,21.6,22.5,22.0
Oklahoma,20.4,19.8,19.5,21.3,20.5
Oregon,21.7,21.0,21.4,22.3,21.6
Pennsylvania,23.1,22.6,23.0,23.6,22.8
Rhode Island,23.3,23.1,22.9,24.0,22.8
South Carolina,18.5,17.3,18.5,19.0,18.6
South Dakota,21.9,20.9,21.7,22.4,22.2
Tennessee,19.9,19.6,19.2,20.3,19.9
Texas,20.6,19.4,20.7,21.0,20.7
Utah,20.2,19.5,19.7,20.9,20.3
Vermont,23.4,22.9,22.9,24.1,23.2
Virginia,23.3,22.9,22.9,24.0,23.1
Washington,23.1,22.3,23.2,23.6,22.9
West Virginia,20.7,20.5,19.6,21.5,20.7
Wisconsin,20.5,19.7,20.4,20.7,20.7
Wyoming,20.0,19.2,19.6,20.4,20.4
