2011-2018 Change
4322
3999
3899
3446
3321
3177
3166
2817
2747
2517
2316
2249
1795
1783
1556
1537
1095
1065
1061
1046
1022
984
964
926
916
900
900
861
850
791
772
769
667
664
658
597
514
464
285
274
261
223
207
157
-21
-52
-238
-495
-730
-1250
-1853
