State,Year,Subject,Score
South Dakota,2012,Reading,22.1
Tennessee,2012,Reading,19.9
Texas,2012,Reading,20.8
Utah,2012,Reading,21.3
Vermont,2012,Reading,23.3
Virginia,2012,Reading,22.7
Washington,2012,Reading,23.3
West Virginia,2012,Reading,21.3
Wisconsin,2012,Reading,22.1
Wyoming,2012,Reading,20.5
Alabama,2012,Science,20.1
Alaska,2012,Science,20.8
Arizona,2012,Science,19.5
Arkansas,2012,Science,20.1
California,2012,Science,21.5
Colorado,2012,Science,20.8
Connecticut,2012,Science,23.2
Delaware,2012,Science,22.1
District of Columbia,2012,Science,19.2
Florida,2012,Science,19.3
Georgia,2012,Science,20.5
Hawaii,2012,Science,21.1
Idaho,2012,Science,21.4
Illinois,2012,Science,20.8
Indiana,2012,Science,21.9
Iowa,2012,Science,22.2
Kansas,2012,Science,21.7
Kentucky,2012,Science,19.8
Louisiana,2012,Science,20.1
Maine,2012,Science,22.7
Maryland,2012,Science,21.7
Massachusetts,2012,Science,23.2
Michigan,2012,Science,20.4
Minnesota,2012,Science,22.7
Mississippi,2012,Science,18.7
Missouri,2012,Science,21.5
Montana,2012,Science,22.0
Nebraska,2012,Science,21.9
Nevada,2012,Science,21.1
New Hampshire,2012,Science,23.3
New Jersey,2012,Science,22.6
New Mexico,2012,Science,20.0
New York,2012,Science,23.1
North Carolina,2012,Science,21.4
North Dakota,2012,Science,20.9
Ohio,2012,Science,21.8
Oklahoma,2012,Science,20.6
Oregon,2012,Science,21.3
Pennsylvania,2012,Science,21.9
Rhode Island,2012,Science,22.3
South Carolina,2012,Science,20.1
South Dakota,2012,Science,22.0
Tennessee,2012,Science,19.6
Texas,2012,Science,20.8
Utah,2012,Science,20.8
Vermont,2012,Science,22.6
Virginia,2012,Science,21.9
Washington,2012,Science,22.4
West Virginia,2012,Science,20.5
Wisconsin,2012,Science,22.1
Wyoming,2012,Science,20.6
Alabama,2013,Composite,20.4
Alaska,2013,Composite,21.1
Arizona,2013,Composite,19.6
Arkansas,2013,Composite,20.2
California,2013,Composite,22.2
Colorado,2013,Composite,20.4
Connecticut,2013,Composite,24.0
Delaware,2013,Composite,22.9
District of Columbia,2013,Composite,20.4
Florida,2013,Composite,19.6
Georgia,2013,Composite,20.7
Hawaii,2013,Composite,20.1
Idaho,2013,Composite,22.1
Illinois,2013,Composite,20.6
Indiana,2013,Composite,21.7
Iowa,2013,Composite,22.1
Kansas,2013,Composite,21.8
Kentucky,2013,Composite,19.6
Louisiana,2013,Composite,19.5
Maine,2013,Composite,23.5
Maryland,2013,Composite,22.3
Massachusetts,2013,Composite,24.1
Michigan,2013,Composite,19.9
Minnesota,2013,Composite,23.0
Mississippi,2013,Composite,18.9
Missouri,2013,Composite,21.6
Montana,2013,Composite,21.3
Nebraska,2013,Composite,21.5
Nevada,2013,Composite,21.3
New Hampshire,2013,Composite,23.8
New Jersey,2013,Composite,23.0
New Mexico,2013,Composite,19.9
New York,2013,Composite,23.4
North Carolina,2013,Composite,18.7
North Dakota,2013,Composite,20.5
Ohio,2013,Composite,21.8
Oklahoma,2013,Composite,20.8
Oregon,2013,Composite,21.5
Pennsylvania,2013,Composite,22.7
Rhode Island,2013,Composite,22.7
South Carolina,2013,Composite,20.4
South Dakota,2013,Composite,21.9
Tennessee,2013,Composite,19.5
Texas,2013,Composite,20.9
Utah,2013,Composite,20.7
Vermont,2013,Composite,23.0
Virginia,2013,Composite,22.6
Washington,2013,Composite,22.8
West Virginia,2013,Composite,20.6
Wisconsin,2013,Composite,22.1
Wyoming,2013,Composite,19.8
Alabama,2013,English,20.5
Alaska,2013,English,20.1
Arizona,2013,English,18.5
Arkansas,2013,English,19.9
California,2013,English,21.6
Colorado,2013,English,19.9
Connecticut,2013,English,24.0
Delaware,2013,English,22.5
District of Columbia,2013,English,19.8
Florida,2013,English,18.7
Georgia,2013,English,20.2
Hawaii,2013,English,19.0
Idaho,2013,English,21.5
Illinois,2013,English,20.2
Indiana,2013,English,21.0
Iowa,2013,English,21.5
Kansas,2013,English,21.2
Kentucky,2013,English,19.2
Louisiana,2013,English,19.4
Maine,2013,English,23.4
Maryland,2013,English,21.8
Massachusetts,2013,English,23.8
Michigan,2013,English,19.1
Minnesota,2013,English,22.2
Mississippi,2013,English,18.8
Missouri,2013,English,21.4
Montana,2013,English,20.2
Nebraska,2013,English,21.1
Nevada,2013,English,20.4
New Hampshire,2013,English,23.6
New Jersey,2013,English,22.5
New Mexico,2013,English,19.0
New York,2013,English,22.6
North Carolina,2013,English,17.1
North Dakota,2013,English,19.5
Ohio,2013,English,21.2
Oklahoma,2013,English,20.4
Oregon,2013,English,20.8
Pennsylvania,2013,English,22.2
Rhode Island,2013,English,22.4
South Carolina,2013,English,19.7
South Dakota,2013,English,20.9
Tennessee,2013,English,19.3
Texas,2013,English,19.8
Utah,2013,English,19.9
Vermont,2013,English,22.7
Virginia,2013,English,22.3
Washington,2013,English,22.1
West Virginia,2013,English,20.5
Wisconsin,2013,English,21.5
Wyoming,2013,English,18.6
Alabama,2013,Mathematics,19.5
Alaska,2013,Mathematics,21.2
Arizona,2013,Mathematics,20.3
Arkansas,2013,Mathematics,19.9
California,2013,Mathematics,22.8
Colorado,2013,Mathematics,20.4
Connecticut,2013,Mathematics,23.9
Delaware,2013,Mathematics,22.8
District of Columbia,2013,Mathematics,20.5
Florida,2013,Mathematics,19.7
Georgia,2013,Mathematics,20.3
Hawaii,2013,Mathematics,20.8
Idaho,2013,Mathematics,21.8
Illinois,2013,Mathematics,20.7
Indiana,2013,Mathematics,21.9
Iowa,2013,Mathematics,21.6
Kansas,2013,Mathematics,21.7
Kentucky,2013,Mathematics,19.2
Louisiana,2013,Mathematics,19.2
Maine,2013,Mathematics,23.3
Maryland,2013,Mathematics,22.3
Massachusetts,2013,Mathematics,24.4
Michigan,2013,Mathematics,19.9
Minnesota,2013,Mathematics,23.1
Mississippi,2013,Mathematics,18.3
Missouri,2013,Mathematics,21.0
Montana,2013,Mathematics,21.4
Nebraska,2013,Mathematics,21.1
Nevada,2013,Mathematics,21.3
New Hampshire,2013,Mathematics,23.6
New Jersey,2013,Mathematics,23.6
New Mexico,2013,Mathematics,19.7
New York,2013,Mathematics,23.8
North Carolina,2013,Mathematics,19.6
North Dakota,2013,Mathematics,20.8
Ohio,2013,Mathematics,21.5
Oklahoma,2013,Mathematics,20.1
Oregon,2013,Mathematics,21.6
Pennsylvania,2013,Mathematics,23.0
Rhode Island,2013,Mathematics,22.4
South Carolina,2013,Mathematics,20.3
South Dakota,2013,Mathematics,21.8
Tennessee,2013,Mathematics,19.1
