SAT_2019,Total,ERW,Math
United States,1059,531,528
Alabama,1143,583,560
Alaska,1097,556,541
Arizona,1134,569,565
Arkansas,1141,582,559
California,1065,534,531
Colorado,1024,518,506
Connecticut,1046,529,516
Delaware,985,499,486
District of Columbia,975,495,480
Florida,999,516,483
Georgia,1058,538,519
Hawaii,1100,550,550
Idaho,993,505,488
Illinois,1013,509,504
Indiana,1080,543,537
Iowa,1244,622,622
Kansas,1241,618,623
Kentucky,1232,620,612
Louisiana,1200,610,591
Maine,1013,512,502
Maryland,1058,535,523
Massachusetts,1120,559,561
Michigan,1003,507,496
Minnesota,1284,636,648
Mississippi,1237,628,608
Missouri,1236,622,614
Montana,1199,603,596
Nebraska,1260,628,631
Nevada,1156,580,576
New Hampshire,1059,533,526
New Jersey,1090,544,545
New Mexico,1073,543,530
New York,1064,531,533
North Carolina,1100,554,546
North Dakota,1263,627,636
Ohio,1097,550,548
Oklahoma,963,490,472
Oregon,1112,562,550
Pennsylvania,1082,545,537
Rhode Island,995,503,492
South Carolina,1030,526,504
South Dakota,1268,633,635
Tennessee,1220,618,602
Texas,1022,515,507
Utah,1230,614,615
Vermont,1106,560,546
Virginia,1119,567,551
Washington,1074,539,535
West Virginia,943,483,460
Wisconsin,1283,635,648
Wyoming,1238,623,615
